Date,Open,High,Low,Close,Volume,Adj Close
2014-07-18,12.95,12.99,11.0,11.25,4147900,11.25
2014-07-21,11.6,11.97,11.5,11.51,255900,11.51
2014-07-22,11.51,11.75,10.95,11.44,185400,11.44
2014-07-23,11.38,11.5,11.0,11.02,99200,11.02
2014-07-24,11.0,11.19,10.99,10.99,139300,10.99
2014-07-25,10.86,11.05,10.67,10.67,79300,10.67
2014-07-28,10.65,11.22,10.65,11.15,87700,11.15
2014-07-29,11.21,11.569,11.16,11.42,98800,11.42
2014-07-30,11.5,11.5,11.28,11.47,69100,11.47
2014-07-31,11.31,11.47,10.97,11.32,130200,11.32
2014-08-01,11.3,11.57,11.3,11.42,59200,11.42
2014-08-04,11.55,11.9,11.49,11.74,47300,11.74
2014-08-05,11.89,12.0,11.56,11.91,47600,11.91
2014-08-06,12.0,12.0,11.73,11.89,29800,11.89
2014-08-07,11.86,12.139000000000001,11.45,11.67,66400,11.67
2014-08-08,11.4,12.11,11.4,11.95,42400,11.95
2014-08-11,12.31,13.25,12.077,12.36,103500,12.36
2014-08-12,12.46,12.46,11.96,12.14,71200,12.14
2014-08-13,12.08,12.32,12.01,12.19,54500,12.19
2014-08-14,12.15,12.6,12.025,12.32,101200,12.32
2014-08-15,12.5,12.5,12.0,12.16,63200,12.16
2014-08-18,12.08,12.12,12.05,12.05,54500,12.05
2014-08-19,12.02,12.07,11.65,11.81,53800,11.81
2014-08-20,11.966,12.3,11.54,11.57,13900,11.57
2014-08-21,11.51,12.48,11.26,12.45,285500,12.45
2014-08-22,12.27,12.6,12.18,12.6,84600,12.6
2014-08-25,12.61,12.780999999999999,12.23,12.5,24900,12.5
2014-08-26,12.44,12.5,12.2,12.48,29600,12.48
2014-08-27,12.36,12.62,12.26,12.4,30100,12.4
2014-08-28,12.32,12.58,12.25,12.33,14100,12.33
2014-08-29,12.35,12.5,12.34,12.41,13200,12.41
2014-09-02,12.5,13.23,12.5,13.13,56400,13.13
2014-09-03,13.28,13.85,13.069,13.59,95600,13.59
2014-09-04,14.0,14.785,13.52,14.2,179000,14.2
2014-09-05,14.16,14.67,13.76,13.99,65200,13.99
2014-09-08,13.8,13.9,13.5,13.65,91900,13.65
2014-09-09,13.56,13.89,12.76,13.0,39700,13.0
2014-09-10,13.16,13.42,13.0,13.15,83400,13.15
2014-09-11,13.0,13.5,12.91,13.13,53100,13.13
2014-09-12,13.3,13.51,13.0,13.09,39200,13.09
2014-09-15,13.0,13.374,12.56,13.02,47600,13.02
2014-09-16,12.97,13.54,12.72,12.75,31000,12.75
2014-09-17,12.97,13.28,12.86,12.9,26300,12.9
2014-09-18,12.93,13.72,12.93,13.38,84100,13.38
2014-09-19,13.4,13.6,12.92,13.34,83500,13.34
2014-09-22,13.38,13.82,13.23,13.3,51900,13.3
2014-09-23,13.38,13.53,13.0,13.44,54800,13.44
2014-09-24,13.27,13.95,13.0,13.28,48300,13.28
2014-09-25,13.5,13.77,12.8,12.97,96000,12.97
2014-09-26,13.0,13.91,13.0,13.82,47300,13.82
2014-09-29,13.78,14.38,13.72,13.72,55000,13.72
2014-09-30,13.86,14.68,13.54,14.07,523800,14.07
2014-10-01,13.95,14.12,13.27,13.81,91700,13.81
2014-10-02,13.83,14.06,13.4,13.57,81300,13.57
2014-10-03,13.78,13.9,13.53,13.59,25000,13.59
2014-10-06,13.66,14.19,13.35,13.95,68200,13.95
2014-10-07,13.91,13.955,13.5,13.55,16200,13.55
2014-10-08,13.5,13.927999999999999,13.2,13.56,57100,13.56
2014-10-09,13.48,13.72,12.97,13.01,28500,13.01
2014-10-10,13.05,13.449000000000002,12.86,13.3,31200,13.3
2014-10-13,12.96,13.69,12.96,13.16,18900,13.16
2014-10-14,13.27,13.49,13.15,13.39,20800,13.39
2014-10-15,13.1,13.38,12.8,13.21,30900,13.21
2014-10-16,13.04,13.69,12.77,13.62,43600,13.62
2014-10-17,13.8,13.8,12.13,12.63,88400,12.63
2014-10-20,12.54,13.25,12.445,13.24,27100,13.24
2014-10-21,13.31,13.46,12.95,13.07,24100,13.07
2014-10-22,12.9,13.25,12.63,12.72,21900,12.72
2014-10-23,12.79,12.79,12.24,12.79,32800,12.79
2014-10-24,12.83,12.88,12.44,12.54,25800,12.54
2014-10-27,12.53,12.53,11.86,12.19,28900,12.19
2014-10-28,12.2,13.04,12.2,12.98,40700,12.98
2014-10-29,12.86,13.01,12.368,12.73,17800,12.73
2014-10-30,12.6,13.23,12.3,13.2,42700,13.2
2014-10-31,13.27,13.27,12.71,12.94,46800,12.94
2014-11-03,12.99,13.5,12.91,13.42,113300,13.42
2014-11-04,13.42,13.55,13.255999999999998,13.48,94800,13.48
2014-11-05,13.4,13.65,13.0,13.46,65900,13.46
2014-11-06,13.22,13.49,12.82,13.42,30900,13.42
2014-11-07,13.44,14.12,13.09,14.12,63100,14.12
2014-11-10,13.9,14.31,13.5,14.0,57500,14.0
2014-11-11,13.64,13.66,11.98,13.42,253400,13.42
2014-11-12,13.42,13.81,13.055,13.54,51100,13.54
2014-11-13,13.43,13.54,12.89,13.28,61800,13.28
2014-11-14,13.32,13.32,13.02,13.13,15700,13.13
2014-11-17,13.062000000000001,13.24,13.04,13.12,6800,13.12
2014-11-18,13.21,13.3,12.99,12.99,11400,12.99
2014-11-19,13.0,13.0,12.61,12.8,11700,12.8
2014-11-20,12.83,13.09,12.712,13.0,11700,13.0
2014-11-21,13.15,13.15,12.92,13.05,63500,13.05
2014-11-24,12.99,13.51,12.662,13.5,30100,13.5
2014-11-25,13.4,13.4,13.13,13.28,24200,13.28
2014-11-26,13.38,13.78,13.017999999999999,13.65,20700,13.65
2014-11-28,13.59,13.9,13.33,13.8,16000,13.8
2014-12-01,13.15,13.515999999999998,12.9,12.9,31800,12.9
2014-12-02,12.902000000000001,13.21,12.9,13.17,14000,13.17
2014-12-03,13.1,13.36,13.08,13.25,10700,13.25
2014-12-04,13.16,13.4,13.01,13.3,11500,13.3
2014-12-05,13.26,13.35,13.08,13.25,32300,13.25
2014-12-08,13.14,13.39,12.76,13.15,23100,13.15
2014-12-09,12.864,13.9,12.864,13.81,40500,13.81
2014-12-10,13.71,13.78,13.35,13.46,29000,13.46
2014-12-11,13.36,13.682,13.17,13.47,13400,13.47
2014-12-12,13.3,13.68,13.26,13.33,34700,13.33
2014-12-15,13.35,13.436,13.13,13.34,17100,13.34
2014-12-16,13.39,13.46,13.14,13.44,26200,13.44
2014-12-17,13.34,13.872,13.34,13.87,25300,13.87
2014-12-18,13.87,13.87,13.45,13.69,24500,13.69
2014-12-19,13.81,15.02,13.65,15.02,80800,15.02
2014-12-22,14.97,14.97,14.3,14.55,44400,14.55
2014-12-23,14.56,14.67,14.0,14.62,37700,14.62
2014-12-24,14.62,14.76,14.38,14.65,2300,14.65
2014-12-26,14.74,14.85,14.63,14.85,9500,14.85
2014-12-29,14.85,15.634,14.39,15.26,70700,15.26
2014-12-30,15.01,15.2,14.56,15.0,46200,15.0
2014-12-31,15.0,15.85,14.85,15.62,30800,15.62
2015-01-02,15.45,15.5,14.87,15.5,34300,15.5
2015-01-05,15.34,15.34,14.46,14.94,21800,14.94
2015-01-06,15.07,15.23,14.25,14.43,19600,14.43
2015-01-07,14.1,14.34,13.6,13.99,42700,13.99
2015-01-08,13.63,14.11,13.6,13.95,15600,13.95
2015-01-09,13.58,14.5,13.58,14.02,22400,14.02
2015-01-12,13.94,13.98,13.56,13.65,16600,13.65
2015-01-13,13.55,13.94,13.435,13.91,29500,13.91
2015-01-14,14.5,14.87,13.56,14.19,53400,14.19
2015-01-15,14.17,14.47,13.17,13.74,63600,13.74
2015-01-16,13.65,14.59,13.6,14.4,42600,14.4
2015-01-20,14.45,14.58,13.86,14.11,9900,14.11
2015-01-21,14.1,14.1,13.32,13.63,60800,13.63
2015-01-22,13.76,14.162,13.23,13.8,53400,13.8
2015-01-23,13.76,14.35,13.75,13.94,36700,13.94
