Company,Sym.,Price,P/E,Forward P/E,Ann Div,Yield,EPS,PEG,Price/Book,Score
"Macy's, Inc.",M,,14.03,9.27,1.51,4.29,2.2,0.83,2.49,23
Kohl's Corporation,KSS,,12.61,11,2,4.02,3.29,1.47,1.45,22
"American Eagle Outfitters, Inc.",AEO,,11.22,11.34,0.5,3.29,1.29,1,2.36,21
"Best Buy Co., Inc.",BBY,,12.77,12.18,1.12,2.63,3.35,1.04,3.13,19
"The Gap, Inc.",GPS,,13.89,11.4,0.92,3.92,1.68,2.71,3.4,19
Target Corporation,TGT,,12.71,13.17,2.4,3.3,5.62,2.31,3.7,19
At Home Group Inc.,HOME,,0.73,18.24,0,0,18.67,0.63,1.67,18
Intel Corporation,INTC,,17.12,12.94,1.04,2.84,2.13,1.36,2.73,18
Apple Inc.,AAPL,$117.91 ,14.19,11.57,2.28,1.96,8.31,1.49,4.85,17
American Express Company,AXP,,13.41,13.45,1.28,1.7,5.63,2.03,3.29,17
"Twenty-First Century Fox, Inc.",FOXA,,19.51,13.62,0.36,1.25,1.51,1.21,3.9,17
Nokia Corporation,NOK,,63.08,18.85,0.29,6.07,0.08,1.23,1.45,17
PVH Corp.,PVH,,12.99,12.55,0.15,0.16,7.15,2.14,1.54,17
The Walt Disney Company,DIS,,19.02,16.15,1.56,1.47,5.73,1.74,3.96,16
"Discovery Communications, Inc.",DISCA,,15.53,12.36,0,0,1.77,0.9,3.11,16
"Mattel, Inc.",MAT,,29.13,17.58,1.52,4.91,1.05,2.42,4.38,16
Time Warner Inc.,TWX,,16.85,16.04,1.61,1.66,5.62,1.36,3.02,16
V.F. Corporation,VFC,,20.19,15.57,1.68,3.16,2.63,1.99,4.52,16
"Hasbro, Inc.",HAS,,19.69,18.56,2.04,2.44,4.21,1.78,6.01,15
Santander Consumer USA Holdings Inc.,SC,,7.22,6.04,0,0,1.9,17.26,0.99,15
"AMC Entertainment Holdings, Inc.",AMC,,26.68,23.94,0.8,2.3,1.27,2.14,2.11,14
"Activision Blizzard, Inc.",ATVI,,32.91,17.9,0.26,0.69,1.15,0.83,3.2,14
"Dr Pepper Snapple Group, Inc.",DPS,,19.74,19.24,2.12,2.32,4.61,2.1,7.89,14
"L Brands, Inc.",LB,,15.41,16.2,2.4,3.87,3.97,1.7,-14.91,14
Ralph Lauren Corporation,RL,,38.05,15.12,2,2.21,2.33,2.36,2.03,14
"Wal-Mart Stores, Inc.",WMT,,14.81,15.95,2,2.91,4.61,10.9,2.74,14
Alphabet Inc.,GOOG,,29.51,19.38,0,0,27.32,1.21,4.08,12
Kate Spade & Company,KATE,,17.63,21.74,0,0,1,0.99,6.78,12
McDonald's Corporation,MCD,,22.69,19.4,3.76,3.14,5.32,2.18,-61.2,12
"Mondelez International, Inc.",MDLZ,,85.99,21.33,0.76,1.69,0.52,1.79,2.53,12
Microsoft Corporation,MSFT,,30.1,19.11,1.56,2.49,2.09,2.31,6.89,12
"NIKE, Inc.",NKE,,23.77,20.1,0.72,1.39,2.27,1.88,7.14,12
STORE Capital Corporation,STOR,,31.72,31.24,1.16,4.69,0.8,5.6,1.65,12
Unilever PLC,UL,,22.63,19.54,1.42,3.44,1.81,4.38,7.73,12
"Buffalo Wild Wings, Inc.",BWLD,,27.21,22.88,0,0,5.56,1.24,4.36,11
Electronic Arts Inc.,EA,,20.14,18.89,0,0,3.92,1.3,6.57,11
"Viacom, Inc.",VIA,,11.41,N/A,0.8,2.02,3.62,0,3.8,11
"Yum! Brands, Inc.",YUM,,16.57,22.98,1.73,2.72,3.89,2.01,-12.62,11
